name1,name2,whole_adress,street2,phone,intake1,intake2,intake1a,intake2a,service_code_info,latitude,longitude
Wilkes Barre VAMC,NA,1111 East End Boulevard Wilkes Barre PA 18711,NA,570-824-3521,570-824-3521 x27738,570-824-3521 x27737,NA,NA,SA MH SUMH * HI OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT EMDR GT IDD IPT TMS TELE * PEON WI * FED VAMC * FQHC * MC MD MI PI SI SMHA VAF * SE GL VET CO DV ALZ PTSD SMI * STU * HIVT STDT TBS MST HBT LABT * HS PEER * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM COOT DEC FPSY ICM IMR PRS SEMP SH VRS CM IPC SPS ES,41.24817800943794,-75.83833599056206
Community Services Group,NA,1000 Commerce Park Drive Williamsport PA 17701,Water Tower Square,877-907-7970,NA,NA,NA,NA,MH * OP PHDT * MSMH * CHLOR FLUPH HALOP LOXAP PERPH THIOT THIOR ARIPI OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * WI * PVTP * MHC * CLF CMHG MC MD MI PI SCJJ SF SI SMHA SWFS * TAY TRMA PTSD SMI * HS PEER * ADLT CHLD SNR YAD * VPPD * PRS SH IPC,41.246556,-76.984083
Divine Providence Campus,UPMC Williamsport Hospital,1100 Grampian Boulevard Williamsport PA 17701,NA,570-326-8295,888-882-2340,NA,NA,NA,MH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR ARIPI CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IPT * CIT * PVTN * MC MD MI PI SF VAF * SMI * STU * MST LABT * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * DEC FPSY IPC,41.26002915,-76.98447899381826
Lebanon VAMC,Lancaster VA Outpatient Clinic,212 Willow Valley Lakes Drive Willow Street PA 17584,Suite 208,717-740-4434 x2750,800-409-8771,717-272-6621,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP ZIPRA NRT NSC ANTPYCH * CBT CFT GT IDD IPT TELE * PEON PEOFF WI * FED VAMC * MC MI PI SF VAF * VET CO TBI * STU * HS * TCC * SMON * ADLT SNR YAD * AH * VAPN * ACT CDM COOT DEC FPSY IMR LAD SH CM SPS,39.9874863,-76.275202
Bedford/Somerset DBHS,Windber Clinic/Cornerstone,403 12th Street Windber PA 15963,NA,814-467-4397,NA,814-443-4891,NA,NA,MH SUMH * OP RES * OMH ORES * CHLOR FLUPH HALOP LOXAP PERPH PROCH THIOT THIOR TRIFL ARIPI ASENA CARIP CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT PEON PEOFF WI * LCCG * FQHC * CLF MC MD MI OSF PI SF SI SMHA VAF * SS * TAY SE DV TRMA PTSD SED SMI * STU * MST * HS * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT DEC FPSY ICM IMR PRS SH CM SPS,40.236727534284086,-78.83443959455576
ANGEL Center PRTF,Residential Treatment Facility,77 Shoe House Road York PA 17406,Building E,717-755-1033 x1302,717-755-1033 x1314,NA,NA,NA,MH * RES * RTCC * ARIPI OLANZ OLANZF QUETI RISPE ANTPYCH * AT CBT CFT DBT EMDR GT IPT * PVTN * MD PI SI SMHA * TRMA PTSD SED * STU * SMON * CHLD * VAPN * FPSY PRS ES,39.99712112363081,-76.63384901423221
Catholic Charities,York Counseling Office,253 East Market Street York PA 17403,NA,717-845-2696,NA,NA,NA,NA,MH * OP * OMH * ANTPYCH * CBT CFT IPT * PVTN * CLF MD SF * PA SS * STU * ADLT CHLD SNR YAD * VPPD * FPSY,39.964062,-76.72280055102041
Childrens Home of York/Bridges,NA,77 Shoehouse Road York PA 17406,NA,717-718-1890,717-718-1890 x1104,717-755-1033 x1118,NA,NA,MH * PHDT * PH * AT CBT CFT GT IPT * PVTN * MD SWFS * TRMA PTSD SED * STU * SMON * CHLD * SP * VAPN * FPSY SPS ES,NA,NA
Commonwealth Clinical Group,NA,1 East Market Street York PA 17401,Suite 104,717-747-3158,844-331-3551,NA,NA,NA,MH SUMH * OP * OMH * ARIPI OLANZ PALIP ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * PVTP * CLF MD MI OSF PI SCJJ SF SMHA SWFS VAF * SS * TAY SE GL VET ADM MF CJ CO DV TRMA PEFP PTSD SED SMI * STU * SMON * ADLT CHLD SNR YAD * SP * VAPN * COOT FPSY PRS SPS,39.9629524,-76.7275332
Diakon Family Life Services,NA,836 South George Street York PA 17403,NA,717-795-0330,NA,NA,NA,NA,MH SUMH * OP * OMH * CBT CFT IDD IPT TELE * PVTN * MD SF * SS * STU * SMON * ADLT CHLD SNR YAD * VAPN * FPSY SPS,39.9512557,-76.7228199
Folium Inc,DBA Laurel Life Services,2020 South Queen Street York PA 17403,NA,717-845-7652,NA,NA,NA,NA,MH * OP * OMH * ARIPI OLANZ QUETI RISPE ANTPYCH * CBT CFT DBT IPT TELE * PVTN * MC MD MI PI SF SI SMHA SWFS * TRMA PTSD SED * STU * SMON * ADLT CHLD SNR YAD * VAPN * FPSY SPS,39.94023226530612,-76.69835414285714
Lebanon VAMC,York VA Outpatient Clinic,2251 Eastern Boulevard York PA 17402,NA,717-840-2730,NA,NA,NA,NA,SA MH SUMH * OP * VAHC * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR TRIFL ARIPI CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP ZIPRA NRT NSC ANTPYCH * CBT CFT DBT GT IDD IPT TELE * WI * FED VAMC * MC MI PI SF VAF * VET CO * STU * HS * TCC * ADLT SNR YAD * AH SP * VAPN * ACT CDM COOT DEC FPSY IMR LAD SH CM IPC SPS,39.97198151823374,-76.6826490209062
TrueNorth Wellness Services,NA,1195 Roosevelt Avenue York PA 17404,NA,717-843-0800,NA,800-315-0951,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH LOXAP PERPH PIMOZ ARIPI ASENA BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE * CIT PEOFF * PVTN * CLF CMHG MC MD MI PI PCF SCJJ SEF SF SWFS * SS * CJ CO SMI * STU * PEER * TCC * ADLT CHLD SNR YAD * AH * VPPD * COOT FPSY SPS,39.97240801794295,-76.7525105671922
TW Ponessa and Associates,Counseling Services Inc,160 Roosevelt Avenue York PA 17401,NA,717-845-2425,877-228-9177,NA,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IPT TELE * PVTP * MHC * CLF MC MD MI OSF PI SF SI SMHA * CO * STU * SMON * ADLT CHLD SNR YAD * AH SP * VAPN,39.961823,-76.739976
Wellspan Philhaven,Meadowlands,3550 Concord Road York PA 17402,NA,717-851-6340,NA,NA,NA,NA,MH * OP * OMH * AT CBT CFT DBT GT IPT TMS TELE * CIT * PVTN * CLF MC MD MI PI SF SI SMHA SWFS * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * CDM FPSY,39.99030153748952,-76.65743126731951
York Hospital,Behavioral Health Services,1001 South George Street York PA 17403,"3rd Floor, Main Building",717-851-5138,717-851-5320,NA,NA,NA,MH SUMH * HI * IPSY * CHLOR FLUPH HALOP LOXAP PERPH PIMOZ PROCH THIOT THIOR ARIPI ASENA CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT ECT GT IDD IPT * CIT PEON * PVTN * MC MD PI SCJJ SF SI SMHA SWFS * SE CO ALZ SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS * TCC * SMON * ADLT SNR YAD * AH * VAPN * CDM COOT DEC FPSY IMR CM IPC SPS,39.9467482,-76.71843775478968
Community Wellness Center,NA,70 Beaver Road Zelienople PA 16063,NA,724-452-4453 x1393,724-452-4453 x1084,NA,NA,NA,MH SUMH * OP * OMH * ARIPI CLOZA OLANZ OLANZF RISPE ZIPRA ANTPYCH * AT CBT CFT DBT GT IPT TELE AIM * PVTN * MHC * CLF CMHG CSBG MD MI OSF PI PCF SF SI SMHA SWFS * SS * TAY SE DV TRMA PTSD SED SMI * STU * LABT * SMON * ADLT CHLD SNR YAD * AH * VAPN * CDM FPSY CM SPS,NA,NA
APS Clinics de Puerto Rico,Aguadilla,Carr 107 Km 2.3 Bo Borinquen Aguadilla PR 00603,Plaza del Mar,787-641-9133,787-641-0774,NA,NA,NA,SA MH SUMH * OP * OMH * FLUPH HALOP ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT WI * PVTP * MHC * MC MD PI SF SWFS * PA * TAY SE GL CO TRMA ALZ PED PTSD SED SMI * MST * TCC * SMOP * ADLT CHLD SNR YAD * AH SP * VPPD * CDM COOT FPSY ICM CM IPC SPS ES,NA,NA
Centro de Salud Conductual Menonita,Mennonite CIMA Hospital,Calle Sargento Gerardo Santiago Aibonito PR 00705,"Interior 15, Carretera 14",787-714-2462 x2970,787-714-2462 x2990,NA,NA,NA,SA MH SUMH * HI * PSY * CHLOR HALOP ARIPI OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT GT IDD IPT TELE * CIT PEON WI * PVTN * MC MD PI SF VAF * SE CO SMI * STU * MST * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * COOT DEC FPSY PRS CM IPC SPS ES,NA,NA
Arecibo APS Clinics,Outpatient Services,Avenida de Diego Edificio 108 Arecibo PR 00612,NA,787-641-0774,787-641-0773,NA,NA,NA,SA MH SUMH * OP * OMH * OLANZ QUETI NSC ANTPYCH * CBT GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTP * FQHC * MC MD PI SF * PA * SED SMI * TCC * ADLT CHLD SNR YAD * AH SP * VAPP * COOT FPSY ICM IMR PRS CM IPC SPS ES,NA,NA
Hogar GIZA Corporacion,Persistent Symptomatology,Carr 663 Km 1.2 Bo Sabana Hoyos Arecibo PR 00613,Sector Ballaja,787-816-4497,NA,787-922-0681,NA,NA,MH SUMH * RES * RTCA * AT GT IPT * CIT PEON * PVTN * MC MD PI SI SMHA SWFS * SE ALZ SMI * HS * SMON * ADLT YAD * SP * VAPN * DEC FPSY IPC ES,NA,NA
Panamericano Bayamon,NA,Carr 167 Urb Montanez Bayamon PR 00957,Suite A-5,787-778-2480,NA,NA,NA,NA,SA MH * PHDT * PH * AT CBT CFT GT IDD IPT * CIT PEON * PVTP * MC MD MI PI SF VAF * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI PED PTSD * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * FPSY CM SPS ES,NA,NA
Programa de Servicio Residencial,Para Adolescentes,Carretera No 2 Km 8.2 Bayamon PR 00960,Bo Juan Sanchez,787-763-7575 x1511,787-763-7575 x1515,787-763-7575 x1512,NA,NA,SA MH SUMH * RES * RTCC * ARIPI OLANZ OLANZF QUETI RISPE ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE * CIT * STG * FG * PA * CJ CO TRMA SED * PEER * TCC * SMON * CHLD * SP * VAPN * ACT COOT DEC FPSY PRS CM IPC SPS ES,NA,NA
Hospital Metropolitano Psiquiatrico,Cabo Rojo,108 Calle Munoz Rivera Cabo Rojo PR 00623,NA,787-851-2025 x228,787-851-2025 x230,787-851-0833 x230,NA,NA,SA MH SUMH * HI * PSY * CHLOR FLUPH HALOP ARIPI CLOZA OLANZ QUETI RISPE ZIPRA ANTPYCH * CBT CFT GT IPT * CIT PEON PEOFF WI * PVTP * MC MD PI SF * TAY SE GL VET MF CO HV DV TRMA ALZ PED PEFP PTSD SED SMI * STU * LABT * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT FPSY CM SPS ES,18.02603045637584,-67.1710934295302
Centro de Acceso y Tratamiento,NA,Bairoa Shopping Center Caguas PR 00725,Suite 7,787-739-5555,800-981-1218,787-286-2510,NA,NA,SA MH * PHDT * PH * AT CBT CFT GT IDD IPT * CIT PEON * PVTP * MC MD MI PI SF VAF * TAY SE GL VET ADM MF CJ HV DV TRMA TBI PED PTSD * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * FPSY CM SPS ES,18.255055050000003,-66.03731305455847
APS Clinics of Puerto Rico,Carolina,Carretera 3 Km 9.6 Carolina PR 00979,Carolina Shopping,787-641-9133,NA,787-384-9645,NA,NA,SA MH SUMH * OP * MSMH * FLUPH HALOP ARIPI CLOZA OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE AIM * CIT * PVTP * MD PI SF SI SWFS * STU * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * COOT SPS,18.3986224,-65.9913414
Hospitalizacion Parcial CIMA,Cayey,Carretera No 1 Plaza Cayey Montellano Cayey PR 00736,Suite 1,787-520-7157,NA,NA,NA,NA,SA MH * OP PHDT * PH * CHLOR HALOP ARIPI OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT * PEON WI * PVTN * MHC * MD PI SF VAF * SE CO SMI * STU * TCC * SMOP * ADLT SNR YAD * AH SP * VAPP * DEC FPSY PRS CM IPC SPS ES,NA,NA
First Hospital Panamericano Cidra,Inpatient Psychiatric Hospital,Carr 787 Km 1.5 Bo Bayamon Cidra PR 00739,NA,787-739-5555 x436,800-981-1218,787-739-5555,NA,NA,SA MH SUMH * HI RES * PSY * CHLOR FLUPH HALOP PROCH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NSC ANTPYCH * AT CBT CFT GT IDD IPT AIM * CIT PEON WI * PVTP * MC MD MI PI SF SI VAF * TAY SE GL VET ADM MF CJ CO HV DV TRMA ALZ PED PEFP PTSD SED * STU * HIVT STDT TBS MST LABT * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * DEC FPSY CM SPS ES,NA,NA
Hospital San Juan Capestrano,PHP Ponce,Centro Comercial Plaza San Cristobal Coto Laurel PR 00780,2do Piso,787-842-4070,NA,787-842-4058,NA,NA,SA MH SUMH * PHDT * PH * AT CBT CFT DBT GT IDD IPT * CIT * PVTP * MC MD MI PI SF VAF * TAY SE CO * ADLT SNR YAD * AH SP * VPPD * DEC FPSY CM IPC SPS ES,NA,NA
Hospitalizacion Parcial CIMA,Guayama,Avenue Pedro Albizu Campos Guayama PR 00784,"Mgnl 706, Suite 105 LaFuente Townctr",787-296-9777,NA,NA,NA,NA,SA MH SUMH * OP PHDT * MSMH * CHLOR HALOP ARIPI OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * AT CBT CFT GT IDD IPT TELE * CIT PEON WI * PVTN * MHC * MD PI SF VAF * CO * STU * TCC * SMOP * ADLT SNR YAD * AH SP * VAPP * COOT DEC FPSY PRS CM IPC SPS ES,NA,NA
NeoMed Center Clinic,NA,Carr 189 Parque Industrial Gurabo PR 00778,Lote 4,787-737-2311,NA,NA,NA,NA,SA MH * OP * OMH * NSC * CBT CFT GT IDD IPT TELE * CIT * PVTN * FQHC * MC MD MI PI SF SI VAF * PA SS * CO HV SED * STU * HIVT * TCC * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * CDM COOT DEC FPSY CM IPC ES,NA,NA
Neomed Center Inc,NA,Carr 941 San Antonio Final Gurabo PR 00778,Salida Bo Jaguas,787-737-2311 x2031,787-737-1131 x1000,787-737-2311 x1001,NA,NA,MH * OP * OMH * CBT CFT GT IPT TELE * CIT * PVTN * FQHC * MC MD MI PI SF SI VAF * PA SS * HV * STU * TCC * ADLT CHLD SNR YAD * AH SP * VAPN * CDM DEC FPSY IMR CM IPC ES,NA,NA
Panamericano Humacao/Outpatient Servs,NA,Carr 924 Km 1.8 Bo Pitahaya Humacao PR 00791,NA,787-966-7222,787-739-5555,800-981-1212,NA,NA,SA MH * OP PHDT * PH * AT CBT CFT GT IDD IPT * CIT PEON * PVTP * MC MD MI PI SF VAF * TAY SE GL VET ADM MF CO HV DV TRMA PED PTSD * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * FPSY IMR CM SPS ES,NA,NA
AP Community Mental Services Corp,NA,Carr 198 Desvio Surillo Km 22.0 Las Piedras PR 00771,Planta Alta Bo Montones I,787-733-6699,NA,NA,NA,NA,MH * OP * OMH * CHLOR FLUPH HALOP LOXAP ANTPYCH * CFT GT IPT TELE * PEOFF * PVTN * MHC * MC MD PI SF * TAY GL TRMA PTSD SED * SMON * CHLD * SP * VAPN * FPSY IMR CM,NA,NA
NOR Community Mental Health Corp,Outpatient Psychiatric Services,Carretera 198 Km 22.00 Las Piedras PR 00771,Bo Montones 1,787-716-0050,NA,NA,NA,NA,MH * OP * OMH * CHLOR FLUPH HALOP LOXAP THIOR TRIFL CLOZA OLANZ QUETI RISPE ZIPRA ANTPYCH * CFT GT IPT TELE * PVTP * MHC * MC MD MI PI SF * SS * SE GL CO HV TRMA PED PEFP PTSD * SMON * ADLT SNR YAD * SP * VAPN * FPSY CM IPC SPS ES,18.174304,-65.859288
Centro de Recuperacion de Mayaguez,NA,"Carr 2 Km 157.9, Bo Sabalos Nuevos Mayaguez PR 00680","Hosp Ramon Emeterio, Centro Medico",787-833-0663 x203,787-833-0663 x253,787-833-0663 x226,NA,NA,MH SUMH * OP * OMH * AT CBT CFT GT IDD IPT * CIT * STG * CMHG SMHA * PA * SE GL VET ADM MF CJ CO HV DV TRMA PED PTSD SMI * ADLT SNR YAD * SP * VPPD * ACT COOT FPSY ICM IMR PRS SEMP TPC CM IPC SPS ES,NA,NA
Centro de Serv Integrales de Mayaguez,ASSMCA,Caretera 2 Km 157.9 Mayaguez PR 00682,Bo Sabalos Nuevo,787-833-0663 x285,787-833-0663 x277,787-833-0663 x232,NA,NA,SA MH SUMH * OP * OMH * AT CBT GT IDD IPT TELE * CIT * STG * FQHC * FG OSF SI SMHA * PA * SED * PEER * SMON * CHLD * SP * VAPN * COOT FPSY CM IPC SPS,NA,NA
Panamericano Mayaguez,NA,Avenida Hostos Edificio Santander Mayaguez PR 00680,Security Plaza Ofic,787-778-2480,787-652-1525,787-652-1526,NA,NA,SA MH * PHDT * PH * AT CBT CFT GT IDD IPT * CIT PEON * PVTP * MC MD MI PI SF * TAY SE GL VET ADM MF CO HV DV TRMA PED PTSD * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * FPSY CM SPS ES,NA,NA
SJ Capestrano Inc,Outpatient Services,Santander Security Plaza Avenue 349 Mayaguez PR 00680,Suite 104,787-265-2300,NA,787-265-2381,NA,NA,SA MH SUMH * PHDT * PH * AT CBT CFT GT IDD IPT * CIT * PVTP * MHC * MC MI PI SF SI SMHA VAF * CO * STU * TCC * SMON * ADLT SNR YAD * SP * VAPN * ACT CDM COOT DEC FPSY ICM IMR CM IPC SPS ES,NA,NA
Southwest Health Corp,DBA Hosp Metropolitano de Cabo Rojo,Avenida Gonzalez Clemente 445 Mayaguez PR 00682,Edificio Val Harbor Suite 105,787-806-1687,NA,NA,NA,NA,SA MH SUMH * PHDT * PH * ANTPYCH * CBT CFT GT IPT * CIT PEON PEOFF * PVTP * MHC * MC MD PI SF * TAY SE GL VET MF CO HV DV TRMA PED PEFP PTSD * STU * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * COOT FPSY CM SPS ES,18.2077631,-67.1516841
Clinicas Ambulatorias CIMA,Orocovis,Carretera 155 Calle Hospital Orocovis PR 00720,Suite 15,787-520-7153,NA,787-520-7154,NA,NA,SA MH SUMH * OP * OMH * CHLOR HALOP ARIPI OLANZ PALIP QUETI RISPE ZIPRA ANTPYCH * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * PVTN * MHC * MD PI SF * TAY SE CO SED SMI * STU * HBT HCT LABT * TCC * SMOP * ADLT CHLD SNR YAD * AH SP * VAPP * COOT DEC FPSY PRS CM IPC SPS ES,NA,NA
Hospital Panamericano de Ponce,Behavioral Medicine Unit (BMU),2213 Ponce Bypass Ponce PR 00731,"8th Floor, Damas Hospital",787-739-5555,800-981-1218,NA,NA,NA,SA MH SUMH * HI * PSY * CHLOR FLUPH HALOP PROCH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT ECT GT IDD IPT AIM * CIT PEON WI * PVTP * MC MD MI PI SF VAF * TAY SE GL VET ADM MF CJ CO HV DV TRMA TBI ALZ PED PEFP PTSD SMI * STU * HIVT STDT TBS MST LABT * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * CDM DEC FPSY CM SPS ES,17.9971215,-66.61844842643268
Panamericano Ponce,NA,610 Calle Damas San Jorge Ponce PR 00717,"Professional Building, Suite 101",787-284-5093,NA,NA,NA,NA,SA MH * OP PHDT * PH * AT CBT CFT GT IDD IPT * CIT PEON * PVTP * MC MD MI PI SF VAF * TAY SE GL VET ADM MF HV DV TRMA PED PTSD * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * FPSY IMR CM SPS ES,NA,NA
Ponce Health Sciences University,Wellness Center,Antigua Clinica de Veteranos Ponce PR 00732,Urb Industrial Reparada Lote 2,787-840-2575 x5837,787-812-2525,787-812-2543,NA,NA,SA MH SUMH * OP PHDT * OMH * HALOP ANTPYCH * CBT CFT DBT GT IPT TELE * CIT * PVTP * CSBG MC MD MI PI SF SI * SE TRMA PTSD SMI * ADLT CHLD SNR YAD * SP * VPPD * ACT DEC IMR CM,NA,NA
Clinica de La Escuela de Medicina Dept,De Psiquiatria Adultos,Recinto de Ciencias Medicas Piso San Juan PR 00936,9 Oficina A-994,787-758-2525 x1926,787-766-0940,787-758-2525 x1923,NA,NA,SA MH SUMH * OP * OMH * CHLOR FLUPH HALOP LOXAP PIMOZ THIOR ARIPI CLOZA LURAS OLANZ OLANZF PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT GT IDD IPT TELE AIM * STG * CMHG MC MD OSF PI SF SI SMHA SWFS * PA SS * SE TRMA ALZ PTSD SMI * STU * MST LABT * HS * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * ACT CDM DEC FPSY ICM IMR PRS SEMP SH VRS CM SPS ES,NA,NA
Clinica de Servicios Ambulatorios,Capestrano/Carolina,Iturreigui Plaza Shopping Center San Juan PR 00924,Local 17-1135 A 65th Infantry Avenue,787-769-7100,787-769-7900,NA,NA,NA,SA MH * PHDT * PH * AT GT IDD IPT * CIT * PVTP * MHC * CLF MC MD MI PI SF SI SMHA VAF * PA SS * TAY SE GL VET CO HV PED PTSD * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * FPSY CM SPS,NA,NA
Panamericano de Hato Rey,NA,Eleanor Roosevelt Avenue San Juan PR 00918,Building 122,787-739-5555,787-758-4845,NA,NA,NA,SA MH * OP PHDT * PH * AT CBT CFT DBT GT IDD IPT * CIT PEON * PVTP * MC MD MI PI SF VAF * TAY SE GL ADM MF CO HV DV TRMA TBI PED PTSD * SMON * ADLT CHLD SNR YAD * AH SP * VAPN * FPSY IMR CM SPS ES,18.420991,-66.0572638
Panamericano San Juan,NA,715 Ave Ponce de Leon Parada 37.5 San Juan PR 00917,Predios Hospital Auxilio Mutuo,787-739-5959,787-523-1500,800-981-1212,NA,NA,SA MH SUMH * HI * PSY * CHLOR FLUPH HALOP PROCH ARIPI CLOZA LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT ANTPYCH * AT CBT CFT GT IPT AIM * CIT PEON * PVTP * MC MD MI OSF PI SF VAF * TAY SE GL VET ADM MF CJ CO HV DV TRMA ALZ PED PEFP PTSD SMI * STU * HIVT STDT TBS MST LABT * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * DEC FPSY CM SPS ES,NA,NA
Programa Jugadores Compulsivos,San Juan/ASSMCA,Centro Medico de Rio Piedras San Juan PR 00921,"Calle Maga, Edificio B",787-753-4665,787-766-4646 x4053,787-766-4646 x4054,NA,NA,SA MH SUMH * OP * OMH * NSC * CBT CFT DBT GT IDD IPT TELE * CIT PEON WI * STG * MHC * OSF * PA * TAY SE CO SMI * STU * PEER * TCC * SMON * ADLT SNR YAD * AH SP * VAPN * FPSY PRS CM SPS ES,18.3726374,-66.0461744
San Juan Servs Clinic for Child/Adoles,CDT Hoare/Outpatient MH Clinic,Calle Cerra San Juan PR 00907,"Apartment 900, Stop 15",787-480-3811,787-480-3807,787-480-3821,NA,NA,MH * OP * OMH * ANTPYCH * CBT CFT DBT GT IPT TELE * CIT WI * SF SI SMHA * PA * STU * TCC * SMON * ADLT CHLD SNR YAD * AH SP * FPSY IPC SPS ES,18.4520106,-66.0796979
East Bay Community Action Program,John P Digits Facility,2 Old County Road Barrington RI 02806,NA,401-246-1195,401-246-1195 x180,401-246-1986,NA,NA,SA MH SUMH * OP * CBHC * CHLOR FLUPH HALOP PERPH THIOT ARIPI BREXP CARIP CLOZA ILOPE LURAS OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT CFT DBT EMDR GT IDD IPT TELE AIM * CIT PEON PEOFF WI * PVTN * FQHC * CLF CMHG CSBG FG MC MD MI OSF PI PCF SF SI SMHA SWFS VAF * PA SS * CO SMI * STU * HIVT STDT TBS MST HBT HCT LABT * HS PEER * TCC * ADLT SNR YAD * AH SP FX * F19 F67 * VPPD * ACT CDM COOT FPSY ICM SEMP VRS CM IPC SPS,41.754958,-71.32693
Gateway Healthcare,Central Street House,198-200 Central Street Central Falls RI 02863,NA,401-553-1033,NA,NA,NA,NA,PVTN,41.886073,-71.3857531
Gateway Healthcare,Hunt Street House,132 Hunt Street Central Falls RI 02863,NA,401-726-1090,NA,NA,NA,NA,PVTN,41.89642712853546,-71.38905057008225
Harmony Hill School,NA,63 Harmony Hill Road Chepachet RI 02814,NA,401-949-0690,NA,NA,NA,NA,SA MH SUMH * PHDT RES * RTCC * ARIPI OLANZ QUETI RISPE NRT ANTPYCH * AT CBT CFT GT IDD IPT TELE AIM * CIT * PVTN * ITU MD MI OSF PI SCJJ SEF SF SI SMHA SWFS * GL CO TRMA PEFP PTSD SED * STU * HIVT STDT TBS MST LABT * TCC * SMON * CHLD * VAPN * COOT FPSY ICM CM ES,NA,NA
Fellowship Health Resources Inc,NA,45 Sockanosset Cross Road Cranston RI 02920,Unit 4,401-383-4885,401-383-4885 x5826,NA,NA,NA,SA MH * OP * CMHC * CHLOR FLUPH HALOP LOXAP PERPH THIOR ARIPI BREXP OLANZ PALIP QUETI RISPE ZIPRA NRT NSC ANTPYCH * AT CBT DBT GT IDD IPT TELE AIM * CIT PEOFF * PVTN * CLF CMHG MC MD OSF PI SF SI SMHA * SS * CO SMI * STU * MST * HS PEER * TCC * ADLT SNR YAD * AH * VPPD * ACT COOT DEC IMR SEMP SH VRS CM IPC ES,41.753871551244295,-71.45457163680285
Gateway Healthcare,Windsor House,36 North Long Street Johnston RI 02919,NA,401-861-8650,NA,NA,NA,NA,PVTN,41.82192369946474,-71.47402156844306
